Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
WBHW,01-01-2006  12:00:00 AM,25cm,0.12465,,
WBHW,01-01-2006  12:00:00 AM,10cm,0.1484,0.73,
WBHW,01-01-2006  12:00:00 AM,vertical,0.17852,,
WBHW,01-01-2006  12:00:00 PM,25cm,0.12041,,
WBHW,01-01-2006  12:00:00 PM,10cm,0.14247,0.73,
WBHW,01-01-2006  12:00:00 PM,vertical,0.17513,,
WBHW,01-01-2006  3:00:00 AM,25cm,0.1238,,
WBHW,01-01-2006  3:00:00 AM,10cm,0.14671,0.73,
WBHW,01-01-2006  3:00:00 AM,vertical,0.17683,,
WBHW,01-01-2006  3:00:00 PM,25cm,0.11914,,
WBHW,01-01-2006  3:00:00 PM,10cm,0.14077,0.73,
WBHW,01-01-2006  3:00:00 PM,vertical,0.17258,,
WBHW,01-01-2006  6:00:00 AM,25cm,0.1221,,
WBHW,01-01-2006  6:00:00 AM,10cm,0.14416,0.73,
WBHW,01-01-2006  6:00:00 AM,vertical,0.17683,,
WBHW,01-01-2006  6:00:00 PM,25cm,0.11871,,
WBHW,01-01-2006  6:00:00 PM,10cm,0.14077,0.73,
WBHW,01-01-2006  6:00:00 PM,vertical,0.17174,,
WBHW,01-01-2006  9:00:00 AM,25cm,0.12126,,
WBHW,01-01-2006  9:00:00 AM,10cm,0.14416,0.73,
WBHW,01-01-2006  9:00:00 AM,vertical,0.17598,,
WBHW,01-01-2006  9:00:00 PM,25cm,0.11786,,
WBHW,01-01-2006  9:00:00 PM,10cm,0.13992,0.73,
WBHW,01-01-2006  9:00:00 PM,vertical,0.17004,,
WBHW,01-01-2007  12:00:00 AM,25cm,,,
WBHW,01-01-2007  12:00:00 AM,10cm,,,
WBHW,01-01-2007  12:00:00 PM,25cm,,,
WBHW,01-01-2007  12:00:00 PM,10cm,,,
WBHW,01-01-2007  3:00:00 AM,25cm,,,
WBHW,01-01-2007  3:00:00 AM,10cm,,,
WBHW,01-01-2007  3:00:00 PM,25cm,,,
WBHW,01-01-2007  3:00:00 PM,10cm,,,
WBHW,01-01-2007  6:00:00 AM,25cm,,,
WBHW,01-01-2007  6:00:00 AM,10cm,,,
WBHW,01-01-2007  6:00:00 PM,25cm,,,
WBHW,01-01-2007  6:00:00 PM,10cm,,,
WBHW,01-01-2007  9:00:00 AM,25cm,,,
WBHW,01-01-2007  9:00:00 AM,10cm,,,
WBHW,01-01-2007  9:00:00 PM,25cm,,,
WBHW,01-01-2007  9:00:00 PM,10cm,,,
WBHW,01-01-2008  12:00:00 AM,25cm,0.12889,,
WBHW,01-01-2008  12:00:00 AM,10cm,0.13992,2.03,
WBHW,01-01-2008  12:00:00 AM,vertical,0.16113,,
WBHW,01-01-2008  12:00:00 PM,25cm,0.12889,,
WBHW,01-01-2008  12:00:00 PM,10cm,0.13907,2.03,
WBHW,01-01-2008  12:00:00 PM,vertical,0.16113,,
WBHW,01-01-2008  3:00:00 AM,25cm,0.12889,,
WBHW,01-01-2008  3:00:00 AM,10cm,0.13992,2.03,
WBHW,01-01-2008  3:00:00 AM,vertical,0.16113,,
WBHW,01-01-2008  3:00:00 PM,25cm,0.12847,,
WBHW,01-01-2008  3:00:00 PM,10cm,0.13907,2.03,
WBHW,01-01-2008  3:00:00 PM,vertical,0.16028,,
WBHW,01-01-2008  6:00:00 AM,25cm,0.12847,,
WBHW,01-01-2008  6:00:00 AM,10cm,0.13907,2.03,
WBHW,01-01-2008  6:00:00 AM,vertical,0.16071,,
WBHW,01-01-2008  6:00:00 PM,25cm,0.12847,,
WBHW,01-01-2008  6:00:00 PM,10cm,0.13907,2.03,
WBHW,01-01-2008  6:00:00 PM,vertical,0.16028,,
WBHW,01-01-2008  9:00:00 AM,25cm,0.12889,,
WBHW,01-01-2008  9:00:00 AM,10cm,0.1395,2.03,
WBHW,01-01-2008  9:00:00 AM,vertical,0.16113,,
WBHW,01-01-2008  9:00:00 PM,25cm,0.12847,,
WBHW,01-01-2008  9:00:00 PM,10cm,0.13907,2.03,
WBHW,01-01-2008  9:00:00 PM,vertical,0.16071,,
WBHW,01-01-2009  12:00:00 AM,25cm,0.13483,,
WBHW,01-01-2009  12:00:00 AM,10cm,0.15265,1.6,
WBHW,01-01-2009  12:00:00 AM,vertical,0.1781,,
WBHW,01-01-2009  12:00:00 PM,25cm,0.13356,,
WBHW,01-01-2009  12:00:00 PM,10cm,0.15222,1.6,
WBHW,01-01-2009  12:00:00 PM,vertical,0.17725,,
WBHW,01-01-2009  3:00:00 AM,25cm,0.13441,,
