Compartment,Datetime,Depth,Temp_C,Moisture_m3_m3,Remove
EBHW,2-20-2006 6:00,10cm,-1.06,0.04108,
EBHW,2-20-2006 9:00,10cm,-1.06,0.04108,
EBHW,2-20-2006 3:00,10cm,-1.06,0.04151,
EBHW,2-20-2006 0:00,10cm,-1.06,0.04193,
EBHW,2-20-2006 12:00,10cm,-1.06,0.04193,
EBHW,2-21-2006 9:00,10cm,-1.06,0.04193,
EBHW,2-19-2006 12:00,10cm,-0.61,0.04236,
EBHW,2-21-2006 6:00,10cm,-1.06,0.04236,
EBHW,2-19-2006 15:00,10cm,-0.61,0.04278,
EBHW,2-19-2006 18:00,10cm,-0.61,0.04278,
EBHW,2-19-2006 21:00,10cm,-0.61,0.04278,
EBHW,2-21-2006 3:00,10cm,-0.61,0.04278,
EBHW,2-21-2006 12:00,10cm,-1.06,0.04278,
EBHW,2-19-2006 9:00,10cm,-0.61,0.0432,
EBHW,2-20-2006 15:00,10cm,-0.61,0.0432,
EBHW,2-21-2006 0:00,10cm,-0.61,0.0432,
EBHW,2-22-2006 9:00,10cm,-0.61,0.0432,
EBHW,2-20-2006 18:00,10cm,-0.61,0.04363,
EBHW,2-20-2006 21:00,10cm,-0.61,0.04363,
EBHW,2-22-2006 6:00,10cm,-0.61,0.04363,
EBHW,2-21-2006 15:00,10cm,-0.61,0.04448,
EBHW,2-22-2006 3:00,10cm,-0.61,0.04448,
EBHW,2-22-2006 12:00,10cm,-0.61,0.04448,
EBHW,2-17-2004 9:00,10cm,-0.61,0.04533,
EBHW,2-17-2004 12:00,10cm,-0.61,0.04533,
EBHW,2-17-2004 15:00,10cm,-0.61,0.04533,
EBHW,2-17-2004 18:00,10cm,-0.61,0.04533,
EBHW,2-18-2004 3:00,10cm,-0.61,0.04533,
EBHW,2-22-2006 0:00,10cm,-0.61,0.04533,
EBHW,2-17-2004 21:00,10cm,-0.61,0.04575,
EBHW,2-18-2004 0:00,10cm,-0.61,0.04575,
EBHW,2-18-2004 9:00,10cm,-0.61,0.04575,
EBHW,2-21-2006 18:00,10cm,-0.61,0.04575,
EBHW,2-22-2006 15:00,10cm,-0.61,0.04575,
EBHW,2-17-2004 6:00,10cm,-0.61,0.04617,
EBHW,2-18-2004 6:00,10cm,-0.61,0.04617,
EBHW,2-18-2004 12:00,10cm,-0.61,0.04617,
EBHW,2-21-2006 21:00,10cm,-0.61,0.04617,
EBHW,2-23-2006 6:00,10cm,-0.61,0.04617,
EBHW,03-01-2006  9:00:00 AM,10cm,-0.61,0.04617,
EBHW,03-01-2006  12:00:00 PM,10cm,-0.61,0.04617,
EBHW,03-01-2006  3:00:00 PM,10cm,-0.61,0.04617,
EBHW,03-01-2006  9:00:00 PM,10cm,-0.61,0.04617,
EBHW,03-02-2006  12:00:00 AM,10cm,-0.61,0.04617,
EBHW,03-02-2006  3:00:00 AM,10cm,-0.61,0.04617,
EBHW,03-02-2006  6:00:00 AM,10cm,-0.61,0.04617,
EBHW,03-02-2006  9:00:00 AM,10cm,-0.61,0.04617,
EBHW,03-02-2006  12:00:00 PM,10cm,-0.61,0.04617,
EBHW,2-16-2004 15:00,10cm,-0.61,0.0466,
EBHW,2-16-2004 18:00,10cm,-0.61,0.0466,
EBHW,2-17-2004 3:00,10cm,-0.61,0.0466,
EBHW,2-18-2004 15:00,10cm,-0.61,0.0466,
EBHW,2-23-2006 3:00,10cm,-0.61,0.0466,
EBHW,2-23-2006 9:00,10cm,-0.61,0.0466,
EBHW,03-01-2006  12:00:00 AM,10cm,-0.61,0.0466,
EBHW,03-01-2006  3:00:00 AM,10cm,-0.61,0.0466,
EBHW,03-01-2006  6:00:00 AM,10cm,-0.61,0.0466,
EBHW,03-01-2006  6:00:00 PM,10cm,-0.61,0.0466,
EBHW,03-02-2006  3:00:00 PM,10cm,-0.61,0.0466,
EBHW,2-16-2004 9:00,10cm,-0.61,0.04702,
EBHW,2-16-2004 12:00,10cm,-0.61,0.04702,
EBHW,2-16-2004 21:00,10cm,-0.61,0.04702,
EBHW,2-17-2004 0:00,10cm,-0.61,0.04702,
EBHW,2-18-2004 18:00,10cm,-0.61,0.04702,
EBHW,2-19-2006 6:00,10cm,-0.61,0.04702,
EBHW,2-22-2006 18:00,10cm,-0.61,0.04702,
EBHW,2-23-2006 0:00,10cm,-0.61,0.04702,
EBHW,2-28-2006 9:00,10cm,-0.61,0.04702,
EBHW,2-28-2006 12:00,10cm,-0.61,0.04702,
EBHW,2-28-2006 15:00,10cm,-0.61,0.04702,
EBHW,2-28-2006 18:00,10cm,-0.61,0.04702,
EBHW,2-28-2006 21:00,10cm,-0.61,0.04702,
EBHW,03-02-2006  6:00:00 PM,10cm,-0.61,0.04702,
EBHW,03-02-2006  9:00:00 PM,10cm,-0.61,0.04702,
EBHW,2-20-2004 9:00,10cm,-0.61,0.04745,
