Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
EBSW,09-03-2010  9:00:00 PM,,-0.02551,,
EBSW,09-04-2010  12:00:00 AM,,-0.02551,,
EBSW,09-04-2010  3:00:00 AM,,-0.02551,,
EBSW,09-03-2010  3:00:00 PM,,-0.02509,,
EBSW,09-03-2010  6:00:00 PM,,-0.02509,,
EBSW,09-03-2010  12:00:00 PM,,-0.02467,,
EBSW,09-03-2010  9:00:00 AM,,-0.02424,,
EBSW,09-02-2010  6:00:00 PM,,-0.02382,,
EBSW,09-02-2010  9:00:00 PM,,-0.02382,,
EBSW,09-03-2010  12:00:00 AM,,-0.02382,,
EBSW,09-03-2010  3:00:00 AM,,-0.02382,,
EBSW,09-04-2010  6:00:00 AM,,-0.02382,,
EBSW,09-03-2010  6:00:00 AM,,-0.02339,,
EBSW,09-02-2010  3:00:00 PM,,-0.02297,,
EBSW,09-02-2010  12:00:00 PM,,-0.02255,,
EBSW,09-04-2010  9:00:00 AM,,-0.02255,,
EBSW,8-25-2010 15:00,,-0.02212,,
EBSW,8-25-2010 12:00,,-0.0217,,
EBSW,8-25-2010 18:00,,-0.0217,,
EBSW,09-01-2010  6:00:00 PM,,-0.0217,,
EBSW,09-02-2010  3:00:00 AM,,-0.0217,,
EBSW,09-02-2010  9:00:00 AM,,-0.0217,,
EBSW,8-24-2010 18:00,,-0.02127,,
EBSW,8-24-2010 21:00,,-0.02127,,
EBSW,8-25-2010 0:00,,-0.02127,,
EBSW,8-25-2010 3:00,,-0.02127,,
EBSW,8-25-2010 9:00,,-0.02127,,
EBSW,09-01-2010  9:00:00 PM,,-0.02127,,
EBSW,09-02-2010  6:00:00 AM,,-0.02127,,
EBSW,09-04-2010  12:00:00 AM,,-0.02127,,
EBSW,8-24-2010 15:00,,-0.02085,,
EBSW,8-25-2010 6:00,,-0.02085,,
EBSW,09-01-2010  3:00:00 PM,,-0.02085,,
EBSW,09-02-2010  12:00:00 AM,,-0.02085,,
EBSW,09-03-2010  6:00:00 PM,,-0.02085,,
EBSW,09-03-2010  9:00:00 PM,,-0.02085,,
EBSW,09-04-2010  3:00:00 AM,,-0.02085,,
EBSW,09-04-2010  6:00:00 AM,,-0.02085,,
EBSW,09-03-2010  3:00:00 PM,,-0.02042,,
EBSW,8-24-2010 12:00,,-0.02,,
EBSW,09-03-2010  12:00:00 PM,,-0.02,,
EBSW,8-25-2010 21:00,,-0.01958,,
EBSW,09-01-2010  12:00:00 PM,,-0.01958,,
EBSW,8-23-2010 18:00,,-0.01915,,
EBSW,8-23-2010 21:00,,-0.01915,,
EBSW,8-24-2010 6:00,,-0.01915,,
EBSW,8-24-2010 9:00,,-0.01915,,
EBSW,8-23-2010 15:00,,-0.01873,,
EBSW,8-24-2010 0:00,,-0.01873,,
EBSW,8-24-2010 3:00,,-0.01873,,
EBSW,8-31-2010 21:00,,-0.01873,,
EBSW,09-01-2010  12:00:00 AM,,-0.01873,,
EBSW,09-01-2010  9:00:00 AM,,-0.01873,,
EBSW,8-31-2010 18:00,,-0.0183,,
EBSW,09-01-2010  3:00:00 AM,,-0.0183,,
EBSW,09-01-2010  6:00:00 AM,,-0.0183,,
EBSW,09-02-2010  6:00:00 PM,,-0.0183,,
EBSW,09-02-2010  9:00:00 PM,,-0.0183,,
EBSW,09-03-2010  12:00:00 AM,,-0.0183,,
EBSW,09-03-2010  3:00:00 AM,,-0.0183,,
EBSW,09-03-2010  6:00:00 AM,,-0.0183,,
EBSW,09-03-2010  9:00:00 AM,,-0.0183,,
EBSW,09-04-2010  9:00:00 AM,,-0.0183,,
EBSW,8-23-2010 12:00,,-0.01788,,
EBSW,8-26-2010 0:00,,-0.01788,,
EBSW,8-22-2010 18:00,,-0.01746,,
EBSW,8-23-2010 0:00,,-0.01746,,
EBSW,8-31-2010 15:00,,-0.01746,,
EBSW,09-02-2010  3:00:00 PM,,-0.01746,,
EBSW,09-04-2010  12:00:00 PM,,-0.01746,,
EBSW,8-22-2010 15:00,,-0.01703,,
EBSW,8-22-2010 21:00,,-0.01703,,
EBSW,8-23-2010 3:00,,-0.01703,,
EBSW,8-23-2010 6:00,,-0.01703,,
EBSW,8-23-2010 9:00,,-0.01703,,
EBSW,8-26-2010 3:00,,-0.01703,,
EBSW,8-21-2010 18:00,,-0.01661,,
EBSW,8-21-2010 21:00,,-0.01661,,
EBSW,8-22-2010 0:00,,-0.01661,,
EBSW,8-22-2010 12:00,,-0.01661,,
EBSW,09-02-2010  12:00:00 PM,,-0.01661,,
EBSW,09-04-2010  3:00:00 PM,,-0.01661,,
EBSW,8-21-2010 15:00,,-0.01618,,
EBSW,8-22-2010 3:00,,-0.01618,,
EBSW,8-22-2010 6:00,,-0.01618,,
EBSW,8-22-2010 9:00,,-0.01618,,
EBSW,8-31-2010 12:00,,-0.01618,,
EBSW,09-04-2010  6:00:00 PM,,-0.01618,,
EBSW,8-26-2010 6:00,,-0.01576,,
EBSW,09-02-2010  9:00:00 AM,,-0.01576,,
EBSW,09-04-2010  9:00:00 PM,,-0.01576,,
EBSW,09-01-2010  6:00:00 PM,,-0.01491,,
