Compartment,Datetime,Depth,Temp_C,Moisture_m3_m3,Remove
EBHW,11/27/13 17:00:00.0,10cm,3.74,0.2939,
EBHW,09-02-2013  6:00:00 PM,10cm,15.23,0.28839,
EBHW,09-01-2013  3:00:00 AM,10cm,16,0.25318,
EBHW,09-03-2013  3:00:00 AM,10cm,14.85,0.25276,
EBHW,11/27/13 14:00:00.0,10cm,2.46,0.25191,
EBHW,08-09-2013  9:00:00 PM,10cm,15.62,0.25106,
EBHW,11/27/13 20:00:00.0,10cm,4.57,0.24512,
EBHW,09-02-2013  9:00:00 PM,10cm,15.23,0.24046,
EBHW,09-01-2013  6:00:00 AM,10cm,15.62,0.23918,
EBHW,11/27/13 11:00:00.0,10cm,2.46,0.23918,
EBHW,11/27/13 23:00:00.0,10cm,4.99,0.23621,
EBHW,09-03-2013  12:00:00 AM,10cm,15.23,0.23579,
EBHW,09-03-2013  6:00:00 AM,10cm,15.23,0.2324,
EBHW,07/26/13 15:00:00.0,10cm,15.62,0.2324,
EBHW,06-08-2013  9:00:00 AM,10cm,10.6,0.229,
EBHW,11/28/13 02:00:00.0,10cm,5.4,0.22815,
EBHW,09-01-2013  9:00:00 AM,10cm,16,0.22476,
EBHW,09-03-2013  9:00:00 AM,10cm,15.23,0.22391,
EBHW,09-02-2013  3:00:00 PM,10cm,16.38,0.22349,
EBHW,08-09-2013  12:00:00 PM,10cm,15.62,0.22221,
EBHW,11/28/13 05:00:00.0,10cm,5.4,0.22179,
EBHW,08-10-2013  12:00:00 AM,10cm,15.62,0.21925,
EBHW,09-03-2013  12:00:00 PM,10cm,15.23,0.21882,
EBHW,11/18/13 11:00:00.0,10cm,6.22,0.21755,
EBHW,09-01-2013  12:00:00 PM,10cm,16,0.21712,
EBHW,11/28/13 08:00:00.0,10cm,5.4,0.21712,
EBHW,06-08-2013  12:00:00 PM,10cm,10.6,0.21585,
EBHW,08-09-2013  6:00:00 PM,10cm,16,0.215,
EBHW,09-03-2013  3:00:00 PM,10cm,15.23,0.21415,
EBHW,11/28/13 11:00:00.0,10cm,5.4,0.21373,
EBHW,08-09-2013  3:00:00 PM,10cm,15.62,0.21161,
EBHW,08-10-2013  3:00:00 AM,10cm,16,0.21161,
EBHW,09-01-2013  3:00:00 PM,10cm,16.38,0.21161,
EBHW,11/28/13 14:00:00.0,10cm,4.99,0.21161,
EBHW,09-03-2013  6:00:00 PM,10cm,15.62,0.21076,
EBHW,06-08-2013  6:00:00 AM,10cm,10.99,0.21076,
EBHW,09-02-2013  12:00:00 PM,10cm,16.38,0.20991,
EBHW,06-08-2013  3:00:00 PM,10cm,10.21,0.20991,
EBHW,11/28/13 17:00:00.0,10cm,4.99,0.20991,
EBHW,09-02-2013  9:00:00 AM,10cm,16.76,0.20906,
EBHW,11/28/13 20:00:00.0,10cm,4.57,0.20864,
EBHW,09-03-2013  9:00:00 PM,10cm,16,0.20822,
EBHW,09-01-2013  6:00:00 PM,10cm,16.38,0.20737,
EBHW,11/28/13 23:00:00.0,10cm,4.57,0.20737,
EBHW,08-10-2013  6:00:00 AM,10cm,16,0.20694,
EBHW,09-04-2013  12:00:00 AM,10cm,16,0.20652,
EBHW,07/26/13 18:00:00.0,10cm,15.62,0.20652,
EBHW,07/26/13 21:00:00.0,10cm,15.62,0.20652,
EBHW,11/18/13 14:00:00.0,10cm,6.62,0.20652,
EBHW,11/29/13 02:00:00.0,10cm,4.57,0.20652,
EBHW,06-08-2013  6:00:00 PM,10cm,10.6,0.2061,
EBHW,11/29/13 05:00:00.0,10cm,4.15,0.20567,
EBHW,06-12-2013  9:00:00 AM,10cm,10.6,0.20525,
EBHW,09-01-2013  9:00:00 PM,10cm,16.38,0.20482,
EBHW,09-04-2013  3:00:00 AM,10cm,16,0.20482,
EBHW,11-01-2013  6:00:00 AM,10cm,7.43,0.20482,
EBHW,06-12-2013  9:00:00 PM,10cm,10.6,0.20482,
EBHW,07/27/13 00:00:00.0,10cm,16,0.20482,
EBHW,11/29/13 08:00:00.0,10cm,4.15,0.2044,
EBHW,06-08-2013  9:00:00 PM,10cm,10.6,0.20397,
EBHW,07/27/13 03:00:00.0,10cm,16,0.20397,
EBHW,06-12-2013  3:00:00 PM,10cm,10.6,0.20355,
EBHW,06-12-2013  6:00:00 AM,10cm,10.99,0.20355,
EBHW,06/13/13 00:00:00.0,10cm,10.6,0.20355,
EBHW,08-10-2013  9:00:00 AM,10cm,15.62,0.20313,
EBHW,09-04-2013  6:00:00 AM,10cm,16,0.20313,
EBHW,11/29/13 11:00:00.0,10cm,3.74,0.20313,
EBHW,09-02-2013  12:00:00 AM,10cm,16.76,0.2027,
EBHW,06-12-2013  12:00:00 PM,10cm,10.6,0.2027,
