Compartment,Datetime,Temp_C,Moisture_m3_m3,Depth,Remove
EBHW,01/24/15 12:00:00 PM,0.73,0.1119,10cm,
EBHW,01/24/15 03:00:00 PM,0.73,0.1123,10cm,
EBHW,01/24/15 06:00:00 PM,0.73,0.1123,10cm,
EBHW,01/24/15 09:00:00 AM,0.73,0.1123,10cm,
EBHW,01/24/15 06:00:00 AM,0.73,0.1128,10cm,
EBHW,01/24/15 09:00:00 PM,0.73,0.1132,10cm,
EBHW,01/25/15 12:00:00 AM,0.73,0.1132,10cm,
EBHW,01/24/15 03:00:00 AM,0.73,0.1136,10cm,
EBHW,01/25/15 03:00:00 AM,0.73,0.1136,10cm,
EBHW,01/24/15 12:00:00 AM,0.73,0.114,10cm,
EBHW,01/25/15 06:00:00 AM,0.73,0.114,10cm,
EBHW,01/25/15 09:00:00 AM,0.73,0.114,10cm,
EBHW,01/23/15 09:00:00 PM,0.73,0.1145,10cm,
EBHW,01/25/15 12:00:00 PM,0.73,0.1145,10cm,
EBHW,01/23/15 03:00:00 PM,0.73,0.1153,10cm,
EBHW,01/23/15 06:00:00 PM,0.73,0.1153,10cm,
EBHW,01/25/15 03:00:00 PM,0.73,0.1153,10cm,
EBHW,01/25/15 06:00:00 PM,0.73,0.1153,10cm,
EBHW,01/27/15 03:00:00 PM,0.73,0.1153,10cm,
EBHW,01/27/15 06:00:00 AM,0.73,0.1153,10cm,
EBHW,01/27/15 06:00:00 PM,0.73,0.1153,10cm,
EBHW,01/27/15 09:00:00 AM,0.73,0.1153,10cm,
EBHW,01/27/15 09:00:00 PM,0.73,0.1153,10cm,
EBHW,01/27/15 12:00:00 PM,0.73,0.1153,10cm,
EBHW,01/28/15 03:00:00 AM,0.73,0.1153,10cm,
EBHW,01/28/15 06:00:00 AM,0.73,0.1153,10cm,
EBHW,01/28/15 09:00:00 AM,0.73,0.1153,10cm,
EBHW,01/28/15 12:00:00 AM,0.73,0.1153,10cm,
EBHW,01/23/15 12:00:00 PM,0.73,0.1157,10cm,
EBHW,01/25/15 09:00:00 PM,0.73,0.1157,10cm,
EBHW,01/26/15 03:00:00 PM,0.73,0.1157,10cm,
EBHW,01/26/15 06:00:00 PM,0.73,0.1157,10cm,
EBHW,01/26/15 09:00:00 AM,0.73,0.1157,10cm,
EBHW,01/26/15 09:00:00 PM,0.73,0.1157,10cm,
EBHW,01/26/15 12:00:00 PM,0.73,0.1157,10cm,
EBHW,01/27/15 03:00:00 AM,0.73,0.1157,10cm,
EBHW,01/27/15 12:00:00 AM,0.73,0.1157,10cm,
EBHW,01/28/15 03:00:00 PM,0.73,0.1157,10cm,
EBHW,01/28/15 06:00:00 PM,0.73,0.1157,10cm,
EBHW,01/28/15 09:00:00 PM,0.73,0.1157,10cm,
EBHW,01/28/15 12:00:00 PM,0.73,0.1157,10cm,
EBHW,01/26/15 03:00:00 AM,0.73,0.1162,10cm,
EBHW,01/26/15 06:00:00 AM,0.73,0.1162,10cm,
EBHW,01/26/15 12:00:00 AM,0.73,0.1162,10cm,
EBHW,01/29/15 03:00:00 AM,0.73,0.1162,10cm,
EBHW,01/29/15 03:00:00 PM,0.73,0.1162,10cm,
EBHW,01/29/15 06:00:00 AM,0.73,0.1162,10cm,
EBHW,01/29/15 09:00:00 AM,0.73,0.1162,10cm,
EBHW,01/29/15 12:00:00 AM,0.73,0.1162,10cm,
EBHW,01/29/15 12:00:00 PM,0.73,0.1162,10cm,
EBHW,01/29/15 06:00:00 PM,0.73,0.1166,10cm,
EBHW,01/29/15 09:00:00 PM,0.73,0.1166,10cm,
EBHW,01/23/15 09:00:00 AM,0.73,0.117,10cm,
EBHW,01/30/15 03:00:00 AM,0.73,0.117,10cm,
EBHW,01/30/15 12:00:00 AM,0.73,0.117,10cm,
EBHW,01/30/15 03:00:00 PM,0.73,0.1174,10cm,
EBHW,01/30/15 06:00:00 AM,0.73,0.1174,10cm,
EBHW,01/30/15 09:00:00 AM,0.73,0.1174,10cm,
EBHW,01/30/15 12:00:00 PM,0.73,0.1174,10cm,
EBHW,01/30/15 06:00:00 PM,0.73,0.1179,10cm,
EBHW,01/30/15 09:00:00 PM,0.73,0.1179,10cm,
EBHW,01/31/15 12:00:00 AM,0.73,0.1179,10cm,
EBHW,01/31/15 03:00:00 AM,0.73,0.1183,10cm,
EBHW,01/31/15 09:00:00 AM,0.73,0.1183,10cm,
EBHW,01/31/15 03:00:00 PM,0.73,0.1187,10cm,
EBHW,01/31/15 06:00:00 AM,0.73,0.1187,10cm,
EBHW,01/31/15 12:00:00 PM,0.73,0.1187,10cm,
EBHW,01/23/15 06:00:00 AM,0.73,0.1191,10cm,
EBHW,01/31/15 06:00:00 PM,0.73,0.1191,10cm,
EBHW,02-01-2015  12:00:00 AM,0.73,0.1196,10cm,
EBHW,02-01-2015  3:00:00 AM,0.73,0.1196,10cm,
EBHW,02-01-2015  6:00:00 AM,0.73,0.1196,10cm,
EBHW,02-04-2015  3:00:00 PM,0.73,0.1196,10cm,
EBHW,02-04-2015  6:00:00 PM,0.73,0.1196,10cm,
EBHW,01/31/15 09:00:00 PM,0.73,0.1196,10cm,
EBHW,02-01-2015  9:00:00 AM,0.73,0.12,10cm,
EBHW,02-01-2015  12:00:00 PM,0.73,0.12,10cm,
EBHW,02-01-2015  3:00:00 PM,0.73,0.12,10cm,
EBHW,02-01-2015  6:00:00 PM,0.73,0.12,10cm,
EBHW,02-03-2015  6:00:00 PM,0.73,0.12,10cm,
EBHW,02-03-2015  9:00:00 PM,0.73,0.12,10cm,
EBHW,02-04-2015  6:00:00 AM,0.73,0.12,10cm,
EBHW,02-04-2015  9:00:00 AM,0.73,0.12,10cm,
EBHW,02-04-2015  12:00:00 PM,0.73,0.12,10cm,
EBHW,02-04-2015  9:00:00 PM,0.73,0.12,10cm,
EBHW,02-05-2015  12:00:00 AM,0.73,0.12,10cm,
EBHW,02-05-2015  3:00:00 AM,0.73,0.12,10cm,
EBHW,02-05-2015  6:00:00 AM,0.73,0.12,10cm,
EBHW,02-05-2015  9:00:00 AM,0.73,0.12,10cm,
EBHW,02-05-2015  12:00:00 PM,0.73,0.12,10cm,
EBHW,02-05-2015  3:00:00 PM,0.73,0.12,10cm,
EBHW,02-01-2015  9:00:00 PM,0.73,0.1204,10cm,
EBHW,02-02-2015  12:00:00 AM,0.73,0.1204,10cm,
EBHW,02-02-2015  3:00:00 AM,0.73,0.1204,10cm,
EBHW,02-03-2015  12:00:00 PM,0.73,0.1204,10cm,
EBHW,02-03-2015  3:00:00 PM,0.73,0.1204,10cm,
EBHW,02-04-2015  12:00:00 AM,0.73,0.1204,10cm,
EBHW,02-04-2015  3:00:00 AM,0.73,0.1204,10cm,
EBHW,02-05-2015  6:00:00 PM,0.73,0.1204,10cm,
EBHW,02-05-2015  9:00:00 PM,0.73,0.1204,10cm,
EBHW,02-06-2015  12:00:00 AM,0.73,0.1204,10cm,
EBHW,02-06-2015  3:00:00 AM,0.73,0.1204,10cm,
EBHW,02-06-2015  6:00:00 AM,0.73,0.1204,10cm,
EBHW,02-02-2015  6:00:00 AM,0.73,0.1208,10cm,
EBHW,02-02-2015  9:00:00 AM,0.73,0.1208,10cm,
EBHW,02-02-2015  12:00:00 PM,0.73,0.1208,10cm,
EBHW,02-02-2015  3:00:00 PM,0.73,0.1208,10cm,
EBHW,02-02-2015  6:00:00 PM,0.73,0.1208,10cm,
EBHW,02-02-2015  9:00:00 PM,0.73,0.1208,10cm,
EBHW,02-03-2015  12:00:00 AM,0.73,0.1208,10cm,
EBHW,02-03-2015  3:00:00 AM,0.73,0.1208,10cm,
EBHW,02-03-2015  6:00:00 AM,0.73,0.1208,10cm,
EBHW,02-03-2015  9:00:00 AM,0.73,0.1208,10cm,
EBHW,02-06-2015  9:00:00 AM,0.73,0.1208,10cm,
EBHW,02-06-2015  12:00:00 PM,0.73,0.1208,10cm,
EBHW,02-06-2015  3:00:00 PM,0.73,0.1208,10cm,
EBHW,02-06-2015  6:00:00 PM,0.73,0.1208,10cm,
EBHW,02-06-2015  9:00:00 PM,0.73,0.1208,10cm,
EBHW,02-07-2015  12:00:00 AM,0.73,0.1213,10cm,
EBHW,02-07-2015  3:00:00 AM,0.73,0.1213,10cm,
EBHW,02-07-2015  6:00:00 AM,0.73,0.1213,10cm,
EBHW,02-07-2015  9:00:00 AM,0.73,0.1213,10cm,
EBHW,02-07-2015  3:00:00 PM,0.73,0.1213,10cm,
EBHW,01/23/15 03:00:00 AM,0.73,0.1213,10cm,
EBHW,02-07-2015  12:00:00 PM,0.73,0.1217,10cm,
EBHW,02-07-2015  6:00:00 PM,0.73,0.1217,10cm,
EBHW,02-07-2015  9:00:00 PM,0.73,0.1217,10cm,
EBHW,02-08-2015  12:00:00 AM,0.73,0.1217,10cm,
EBHW,02-08-2015  3:00:00 AM,0.73,0.1217,10cm,
EBHW,02-08-2015  6:00:00 AM,0.73,0.1217,10cm,
EBHW,02-08-2015  12:00:00 PM,0.73,0.1217,10cm,
EBHW,02-08-2015  3:00:00 PM,0.73,0.1217,10cm,
EBHW,02-08-2015  9:00:00 AM,0.73,0.1221,10cm,
EBHW,02-08-2015  6:00:00 PM,0.73,0.1221,10cm,
EBHW,02-08-2015  9:00:00 PM,0.73,0.1221,10cm,
EBHW,02-09-2015  12:00:00 AM,0.73,0.1221,10cm,
EBHW,02-09-2015  3:00:00 AM,0.73,0.1221,10cm,
EBHW,02-09-2015  6:00:00 AM,0.73,0.1221,10cm,
EBHW,02-09-2015  9:00:00 AM,0.73,0.1221,10cm,
EBHW,02-09-2015  3:00:00 PM,0.73,0.1221,10cm,
EBHW,02-09-2015  12:00:00 PM,0.73,0.1225,10cm,
EBHW,02-09-2015  9:00:00 PM,0.73,0.1225,10cm,
EBHW,02-10-2015  12:00:00 AM,0.73,0.1225,10cm,
EBHW,02-10-2015  3:00:00 AM,0.73,0.1225,10cm,
EBHW,02-10-2015  6:00:00 AM,0.73,0.1225,10cm,
EBHW,02-10-2015  9:00:00 AM,0.73,0.1225,10cm,
EBHW,02-10-2015  12:00:00 PM,0.73,0.1225,10cm,
EBHW,02-10-2015  3:00:00 PM,0.73,0.1225,10cm,
EBHW,02-10-2015  6:00:00 PM,0.73,0.1225,10cm,
EBHW,02-10-2015  9:00:00 PM,0.73,0.1225,10cm,
EBHW,02-11-2015  12:00:00 AM,0.73,0.123,10cm,
EBHW,02-11-2015  3:00:00 AM,0.73,0.123,10cm,
EBHW,02-11-2015  6:00:00 AM,0.73,0.123,10cm,
EBHW,02-11-2015  9:00:00 AM,0.73,0.123,10cm,
EBHW,02-11-2015  12:00:00 PM,0.73,0.123,10cm,
EBHW,02-11-2015  3:00:00 PM,0.73,0.123,10cm,
EBHW,02-11-2015  6:00:00 PM,0.73,0.123,10cm,
EBHW,02-11-2015  9:00:00 PM,0.73,0.123,10cm,
EBHW,02-12-2015  3:00:00 AM,0.73,0.123,10cm,
EBHW,01/23/15 12:00:00 AM,0.73,0.123,10cm,
EBHW,02-09-2015  6:00:00 PM,0.73,0.1234,10cm,
EBHW,02-12-2015  12:00:00 AM,0.73,0.1234,10cm,
EBHW,02-12-2015  6:00:00 AM,0.73,0.1234,10cm,
EBHW,02-12-2015  9:00:00 AM,0.73,0.1234,10cm,
EBHW,02-12-2015  12:00:00 PM,0.73,0.1234,10cm,
EBHW,02-12-2015  3:00:00 PM,0.73,0.1234,10cm,
EBHW,02-12-2015  6:00:00 PM,0.73,0.1234,10cm,
EBHW,02-12-2015  9:00:00 PM,0.73,0.1234,10cm,
EBHW,02/13/15 03:00:00 AM,0.73,0.1234,10cm,
EBHW,02/13/15 06:00:00 AM,0.73,0.1234,10cm,
EBHW,02/13/15 09:00:00 AM,0.73,0.1234,10cm,
EBHW,02/13/15 12:00:00 AM,0.73,0.1234,10cm,
EBHW,02/13/15 12:00:00 PM,0.73,0.1234,10cm,
EBHW,02/13/15 03:00:00 PM,0.73,0.1238,10cm,
EBHW,02/13/15 06:00:00 PM,0.73,0.1238,10cm,
EBHW,02/13/15 09:00:00 PM,0.73,0.1238,10cm,
EBHW,02/14/15 03:00:00 AM,0.73,0.1238,10cm,
EBHW,02/14/15 03:00:00 PM,0.73,0.1238,10cm,
EBHW,02/14/15 06:00:00 AM,0.73,0.1238,10cm,
EBHW,02/14/15 06:00:00 PM,0.73,0.1238,10cm,
