"Compartment","Watershed","Forest","YEAR","MONTH","DAY","DEPTH","Moisture_m3_m3","DATE"
"EBHW","EB","HW",2003,6,17,"10cm",0.1629,2003-06-17
"EBHW","EB","HW",2003,6,18,"10cm",0.1627,2003-06-18
"EBHW","EB","HW",2003,6,19,"10cm",0.1626,2003-06-19
"EBHW","EB","HW",2003,6,20,"10cm",0.1615,2003-06-20
"EBHW","EB","HW",2003,6,21,"10cm",0.1599,2003-06-21
"EBHW","EB","HW",2003,6,22,"10cm",0.1587,2003-06-22
"EBHW","EB","HW",2003,6,23,"10cm",0.1578,2003-06-23
"EBHW","EB","HW",2003,6,24,"10cm",0.1559,2003-06-24
"EBHW","EB","HW",2003,6,25,"10cm",0.1536,2003-06-25
"EBHW","EB","HW",2003,6,26,"10cm",0.152,2003-06-26
"EBHW","EB","HW",2003,6,27,"10cm",0.1505,2003-06-27
"EBHW","EB","HW",2003,6,28,"10cm",0.1494,2003-06-28
"EBHW","EB","HW",2003,6,29,"10cm",0.1477,2003-06-29
"EBHW","EB","HW",2003,6,30,"10cm",0.1466,2003-06-30
"EBHW","EB","HW",2003,7,1,"10cm",0.1454,2003-07-01
"EBHW","EB","HW",2003,7,2,"10cm",0.1438,2003-07-02
"EBHW","EB","HW",2003,7,3,"10cm",0.1423,2003-07-03
"EBHW","EB","HW",2003,7,4,"10cm",0.1405,2003-07-04
"EBHW","EB","HW",2003,7,5,"10cm",0.1423,2003-07-05
"EBHW","EB","HW",2003,7,6,"10cm",0.149,2003-07-06
"EBHW","EB","HW",2003,7,7,"10cm",0.146,2003-07-07
"EBHW","EB","HW",2003,7,8,"10cm",0.1447,2003-07-08
"EBHW","EB","HW",2003,7,9,"10cm",0.1435,2003-07-09
"EBHW","EB","HW",2003,7,10,"10cm",0.1423,2003-07-10
"EBHW","EB","HW",2003,7,11,"10cm",0.1434,2003-07-11
"EBHW","EB","HW",2003,7,12,"10cm",0.1487,2003-07-12
"EBHW","EB","HW",2003,7,13,"10cm",0.1458,2003-07-13
"EBHW","EB","HW",2003,7,14,"10cm",0.1434,2003-07-14
"EBHW","EB","HW",2003,7,15,"10cm",0.1422,2003-07-15
"EBHW","EB","HW",2003,7,16,"10cm",0.1414,2003-07-16
"EBHW","EB","HW",2003,7,17,"10cm",0.1414,2003-07-17
"EBHW","EB","HW",2003,7,18,"10cm",0.1401,2003-07-18
"EBHW","EB","HW",2003,7,19,"10cm",0.1426,2003-07-19
"EBHW","EB","HW",2003,7,20,"10cm",0.1407,2003-07-20
"EBHW","EB","HW",2003,7,21,"10cm",0.1394,2003-07-21
"EBHW","EB","HW",2003,7,22,"10cm",0.1385,2003-07-22
"EBHW","EB","HW",2003,7,23,"10cm",0.1399,2003-07-23
"EBHW","EB","HW",2003,7,24,"10cm",0.149,2003-07-24
"EBHW","EB","HW",2003,7,25,"10cm",0.1506,2003-07-25
"EBHW","EB","HW",2003,7,26,"10cm",0.1462,2003-07-26
"EBHW","EB","HW",2003,7,27,"10cm",0.1438,2003-07-27
"EBHW","EB","HW",2003,7,28,"10cm",0.1432,2003-07-28
"EBHW","EB","HW",2003,7,29,"10cm",0.1418,2003-07-29
"EBHW","EB","HW",2003,7,30,"10cm",0.1393,2003-07-30
"EBHW","EB","HW",2003,7,31,"10cm",0.1373,2003-07-31
"EBHW","EB","HW",2003,8,1,"10cm",0.136,2003-08-01
"EBHW","EB","HW",2003,8,2,"10cm",0.1511,2003-08-02
"EBHW","EB","HW",2003,8,3,"10cm",0.152,2003-08-03
"EBHW","EB","HW",2003,8,4,"10cm",0.1485,2003-08-04
"EBHW","EB","HW",2003,8,5,"10cm",0.1508,2003-08-05
"EBHW","EB","HW",2003,8,6,"10cm",0.159,2003-08-06
"EBHW","EB","HW",2003,8,7,"10cm",0.1543,2003-08-07
"EBHW","EB","HW",2003,8,8,"10cm",0.1576,2003-08-08
"EBHW","EB","HW",2003,8,9,"10cm",0.1565,2003-08-09
"EBHW","EB","HW",2003,8,10,"10cm",0.1534,2003-08-10
"EBHW","EB","HW",2003,8,11,"10cm",0.1516,2003-08-11
"EBHW","EB","HW",2003,8,12,"10cm",0.1518,2003-08-12
"EBHW","EB","HW",2003,8,13,"10cm",0.1508,2003-08-13
"EBHW","EB","HW",2003,8,14,"10cm",0.1489,2003-08-14
"EBHW","EB","HW",2003,8,15,"10cm",0.1478,2003-08-15
"EBHW","EB","HW",2003,8,16,"10cm",0.1459,2003-08-16
"EBHW","EB","HW",2003,8,17,"10cm",0.145,2003-08-17
"EBHW","EB","HW",2003,8,18,"10cm",0.1437,2003-08-18
"EBHW","EB","HW",2003,8,19,"10cm",0.1421,2003-08-19
"EBHW","EB","HW",2003,8,20,"10cm",0.1403,2003-08-20
"EBHW","EB","HW",2003,8,21,"10cm",0.139,2003-08-21
"EBHW","EB","HW",2003,8,22,"10cm",0.1385,2003-08-22
"EBHW","EB","HW",2003,8,23,"10cm",0.1373,2003-08-23
"EBHW","EB","HW",2003,8,24,"10cm",0.1396,2003-08-24
"EBHW","EB","HW",2003,8,25,"10cm",0.141,2003-08-25
"EBHW","EB","HW",2003,8,26,"10cm",0.1394,2003-08-26
"EBHW","EB","HW",2003,8,27,"10cm",0.1372,2003-08-27
"EBHW","EB","HW",2003,8,28,"10cm",0.1356,2003-08-28
"EBHW","EB","HW",2003,8,29,"10cm",0.1344,2003-08-29
"EBHW","EB","HW",2003,8,30,"10cm",0.1338,2003-08-30
"EBHW","EB","HW",2003,8,31,"10cm",0.1346,2003-08-31
"EBHW","EB","HW",2003,9,1,"10cm",0.1336,2003-09-01
"EBHW","EB","HW",2003,9,2,"10cm",0.1323,2003-09-02
"EBHW","EB","HW",2003,9,3,"10cm",0.132,2003-09-03
"EBHW","EB","HW",2003,9,4,"10cm",0.1445,2003-09-04
"EBHW","EB","HW",2003,9,5,"10cm",0.1502,2003-09-05
"EBHW","EB","HW",2003,9,6,"10cm",0.1454,2003-09-06
"EBHW","EB","HW",2003,9,7,"10cm",0.1424,2003-09-07
"EBHW","EB","HW",2003,9,8,"10cm",0.1411,2003-09-08
"EBHW","EB","HW",2003,9,9,"10cm",0.1405,2003-09-09
"EBHW","EB","HW",2003,9,10,"10cm",0.1399,2003-09-10
"EBHW","EB","HW",2003,9,11,"10cm",0.1374,2003-09-11
"EBHW","EB","HW",2003,9,12,"10cm",0.1356,2003-09-12
"EBHW","EB","HW",2003,9,13,"10cm",0.1338,2003-09-13
"EBHW","EB","HW",2003,9,14,"10cm",0.1319,2003-09-14
"EBHW","EB","HW",2003,9,15,"10cm",0.1305,2003-09-15
"EBHW","EB","HW",2003,9,16,"10cm",0.1302,2003-09-16
"EBHW","EB","HW",2003,9,17,"10cm",0.1304,2003-09-17
"EBHW","EB","HW",2003,9,18,"10cm",0.1296,2003-09-18
"EBHW","EB","HW",2003,9,19,"10cm",0.1286,2003-09-19
"EBHW","EB","HW",2003,9,20,"10cm",0.1283,2003-09-20
"EBHW","EB","HW",2003,9,21,"10cm",0.1291,2003-09-21
"EBHW","EB","HW",2003,9,22,"10cm",0.1292,2003-09-22
"EBHW","EB","HW",2003,9,23,"10cm",0.1298,2003-09-23
"EBHW","EB","HW",2003,9,24,"10cm",0.1405,2003-09-24
"EBHW","EB","HW",2003,9,25,"10cm",0.1393,2003-09-25
"EBHW","EB","HW",2003,9,26,"10cm",0.1383,2003-09-26
"EBHW","EB","HW",2003,9,27,"10cm",0.1389,2003-09-27
"EBHW","EB","HW",2003,9,28,"10cm",0.1637,2003-09-28
"EBHW","EB","HW",2003,9,29,"10cm",0.1682,2003-09-29
"EBHW","EB","HW",2003,9,30,"10cm",0.1613,2003-09-30
"EBHW","EB","HW",2003,10,1,"10cm",0.1595,2003-10-01
"EBHW","EB","HW",2003,10,2,"10cm",0.1642,2003-10-02
"EBHW","EB","HW",2003,10,3,"10cm",0.1692,2003-10-03
"EBHW","EB","HW",2003,10,4,"10cm",0.1675,2003-10-04
"EBHW","EB","HW",2003,10,5,"10cm",0.1763,2003-10-05
"EBHW","EB","HW",2003,10,6,"10cm",0.1715,2003-10-06
"EBHW","EB","HW",2003,10,7,"10cm",0.1695,2003-10-07
"EBHW","EB","HW",2003,10,8,"10cm",0.1664,2003-10-08
"EBHW","EB","HW",2003,10,9,"10cm",0.1628,2003-10-09
"EBHW","EB","HW",2003,10,10,"10cm",0.1604,2003-10-10
"EBHW","EB","HW",2003,10,11,"10cm",0.1581,2003-10-11
"EBHW","EB","HW",2003,10,12,"10cm",0.156,2003-10-12
"EBHW","EB","HW",2003,10,13,"10cm",0.1751,2003-10-13
"EBHW","EB","HW",2003,10,14,"10cm",0.1703,2003-10-14
"EBHW","EB","HW",2003,10,15,"10cm",0.1828,2003-10-15
"EBHW","EB","HW",2003,10,16,"10cm",0.1835,2003-10-16
"EBHW","EB","HW",2003,10,17,"10cm",0.1795,2003-10-17
"EBHW","EB","HW",2003,10,18,"10cm",0.1772,2003-10-18
"EBHW","EB","HW",2003,10,19,"10cm",0.1757,2003-10-19
"EBHW","EB","HW",2003,10,20,"10cm",0.1742,2003-10-20
"EBHW","EB","HW",2003,10,21,"10cm",0.1867,2003-10-21
"EBHW","EB","HW",2003,10,22,"10cm",0.189,2003-10-22
"EBHW","EB","HW",2003,10,23,"10cm",0.1847,2003-10-23
"EBHW","EB","HW",2003,10,24,"10cm",0.1827,2003-10-24
"EBHW","EB","HW",2003,10,25,"10cm",0.18,2003-10-25
"EBHW","EB","HW",2003,10,26,"10cm",0.177,2003-10-26
"EBHW","EB","HW",2003,10,27,"10cm",0.1873,2003-10-27
"EBHW","EB","HW",2003,10,28,"10cm",0.1987,2003-10-28
"EBHW","EB","HW",2003,10,29,"10cm",0.1956,2003-10-29
"EBHW","EB","HW",2003,10,30,"10cm",0.1931,2003-10-30
"EBHW","EB","HW",2003,10,31,"10cm",0.1832,2003-10-31
"EBHW","EB","HW",2003,11,1,"10cm",0.1796,2003-11-01
"EBHW","EB","HW",2003,11,2,"10cm",0.177,2003-11-02
"EBHW","EB","HW",2003,11,3,"10cm",0.1766,2003-11-03
"EBHW","EB","HW",2003,11,4,"10cm",0.1766,2003-11-04
"EBHW","EB","HW",2003,11,5,"10cm",0.1769,2003-11-05
"EBHW","EB","HW",2003,11,6,"10cm",0.1769,2003-11-06
"EBHW","EB","HW",2003,11,7,"10cm",0.1761,2003-11-07
"EBHW","EB","HW",2003,11,8,"10cm",0.1766,2003-11-08
"EBHW","EB","HW",2003,11,9,"10cm",0.1757,2003-11-09
"EBHW","EB","HW",2003,11,10,"10cm",0.1749,2003-11-10
"EBHW","EB","HW",2003,11,11,"10cm",0.1747,2003-11-11
"EBHW","EB","HW",2003,11,12,"10cm",0.176,2003-11-12
"EBHW","EB","HW",2003,11,13,"10cm",0.1888,2003-11-13
"EBHW","EB","HW",2003,11,14,"10cm",0.1899,2003-11-14
"EBHW","EB","HW",2003,11,15,"10cm",0.1847,2003-11-15
"EBHW","EB","HW",2003,11,16,"10cm",0.1814,2003-11-16
"EBHW","EB","HW",2003,11,17,"10cm",0.1794,2003-11-17
"EBHW","EB","HW",2003,11,18,"10cm",0.1787,2003-11-18
"EBHW","EB","HW",2003,11,19,"10cm",0.1792,2003-11-19
"EBHW","EB","HW",2003,11,20,"10cm",0.1956,2003-11-20
"EBHW","EB","HW",2003,11,21,"10cm",0.1971,2003-11-21
"EBHW","EB","HW",2003,11,22,"10cm",0.1877,2003-11-22
"EBHW","EB","HW",2003,11,23,"10cm",0.1852,2003-11-23
"EBHW","EB","HW",2003,11,24,"10cm",0.1837,2003-11-24
"EBHW","EB","HW",2003,11,25,"10cm",0.1826,2003-11-25
"EBHW","EB","HW",2003,11,26,"10cm",0.1803,2003-11-26
"EBHW","EB","HW",2003,11,27,"10cm",0.1792,2003-11-27
"EBHW","EB","HW",2003,11,28,"10cm",0.1783,2003-11-28
"EBHW","EB","HW",2003,11,29,"10cm",0.1937,2003-11-29
"EBHW","EB","HW",2003,11,30,"10cm",0.1887,2003-11-30
"EBHW","EB","HW",2003,12,1,"10cm",0.1856,2003-12-01
"EBHW","EB","HW",2003,12,2,"10cm",0.1829,2003-12-02
"EBHW","EB","HW",2003,12,3,"10cm",0.1778,2003-12-03
"EBHW","EB","HW",2003,12,4,"10cm",0.1698,2003-12-04
"EBHW","EB","HW",2003,12,5,"10cm",0.1585,2003-12-05
"EBHW","EB","HW",2003,12,6,"10cm",0.1434,2003-12-06
